ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
137,Regional white matter development in children with autism spectrum disorders.,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/dev.20471,NeuroCiencia,"CarmodyD.P,Lewis","Regional white matter development in children with autism spectrum disorders. Developmental Psychobiology, 52(8), 755–763.",2010
138,Temporal-Order Judgment of Audiovisual Events Involves Network Activity Between Parietal,https://sci-hub.se/https://www.liebertpub.com/doi/abs/10.1089/brain.2013.0163,NeuroCiencia,"AdhikariB.M,GoshornE.S,LamichhaneB,Dhamala","Temporal-Order Judgment of Audiovisual Events Involves Network Activity Between Parietal and Prefrontal Cortices. Brain Connectivity, 3(5), 536–545.",2013
139,Coordination of Voluntary and Stimulus-Driven Attentional Control in Human Cortex.,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1111/j.0956-7976.2005.00791.x,NeuroCiencia,"SerencesJ.T,ShomsteinS,LeberA.B,GolayX,EgethH.E,Yantis","Coordination of Voluntary and Stimulus-Driven Attentional Control in Human Cortex. Psychological Science, 16(2), 114–122.",2005
140,Altered intrinsic functional connectivity of the salience network in childhood,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0022510X14001026,NeuroCiencia,"LuoC,YangT,TuS,DengJ,LiuD,LiQ,Yao","Altered intrinsic functional connectivity of the salience network in childhood absence epilepsy. Journal of the Neurological Sciences, 339(1-2), 189–195.",2014
141,Heightened activity in social reward networks is associated with adolescents’,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1878929317300981,NeuroCiencia,"EckstrandK.L,Choukas-BradleyS,MohantyA,CrossM,AllenN.B,SilkJ.S,ForbesE.","Heightened activity in social reward networks is associated with adolescents’ risky sexual behaviors. Developmental Cognitive Neuroscience, 27, 1–9.",2017
142,Effects of Repetitive Transcranial Magnetic Stimulation (rTMS) on Specific Symptom,https://sci-hub.se/https://www.brainstimjrnl.com/article/S1935-861X(13)00228-3/abstract,NeuroCiencia,"ChristopeitM,SimeonD,UrbanN,GowatskyJ,LisanbyS.H,Mantovani","Effects of Repetitive Transcranial Magnetic Stimulation (rTMS) on Specific Symptom Clusters in Depersonalization Disorder (DPD). Brain Stimulation, 7(1), 141–143.",2014
143,"Impaired self-agency in functional movement disorders. Neurology, 10.1212/WNL.0000000000002940.",https://sci-hub.se/https://n.neurology.org/content/87/6/564.short,NeuroCiencia,"MaurerC.W,LaFaverK,AmeliR,EpsteinS.A,HallettM,HorovitzS.","Impaired self-agency in functional movement disorders. Neurology, 10.1212/WNL.0000000000002940.",2016
144,Age differences in specific neural connections within the Default Mode,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811919301107,NeuroCiencia,"HughesC,CassidyB.S,FaskowitzJ,Avena-KoenigsbergerA,SpornsO,KrendlA.","Age differences in specific neural connections within the Default Mode Network underlie theory of mind. NeuroImage, 191, 269–277.",2019
145,Neural correlates of anosognosia for cognitive impairment in Alzheimer’s disease.,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20203,NeuroCiencia,"SalmonE,PeraniD,HerholzK,MariqueP,KalbeE,HolthoffV,Garraux","Neural correlates of anosognosia for cognitive impairment in Alzheimer’s disease. Human Brain Mapping, 27(7), 588–597.",2006
146,"Cortical Thickness and Folding Deficits in Conduct-Disordered Adolescents. Biological Psychiatry,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0006322311011589,NeuroCiencia,"HyattC.J,Haney-CaronE,StevensM.","Cortical Thickness and Folding Deficits in Conduct-Disordered Adolescents. Biological Psychiatry, 72(3), 207–214.",2012
147,Dissociable Neural Systems Support Retrieval of How and Why Action,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/0956797610386618,NeuroCiencia,"SpuntR.P,FalkE.B,LiebermanM.","Dissociable Neural Systems Support Retrieval of How and Why Action Knowledge. Psychological Science, 21(11), 1593–1598.",2010
148,The intentional network: How the brain reads varieties of intentions.,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393207002035,NeuroCiencia,"CiaramidaroA,AdenzatoM,EnriciI,ErkS,PiaL,BaraB.G,Walter","The intentional network: How the brain reads varieties of intentions. Neuropsychologia, 45(13), 3105–3113.",2007
149,Re-evaluating the role of TPJ in attentional control: Contextual updating?,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0149763413002005,NeuroCiencia,"GengJ.J,Vossel","Re-evaluating the role of TPJ in attentional control: Contextual updating? Neuroscience & Biobehavioral Reviews, 37(10), 2608–2620.",2013
150,Reading the mind in cartoons and stories: an fMRI study,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393299000536,NeuroCiencia,"GallagherH.,HappéF,BrunswickN,FletcherP.,FrithU,FrithC.","Reading the mind in cartoons and stories: an fMRI study of “theory of mind” in verbal and nonverbal tasks. Neuropsychologia, 38(1), 11–21.",2000
151,Preserved Self-other Distinction During Empathy in Autism is Linked to,https://sci-hub.se/https://link.springer.com/article/10.1007/s10803-015-2609-0,NeuroCiencia,"HoffmannF,KoehneS,SteinbeisN,DziobekI,Singer","Preserved Self-other Distinction During Empathy in Autism is Linked to Network Integrity of Right Supramarginal Gyrus. Journal of Autism and Developmental Disorders, 46(2), 637–648.",2015
152,"Expertise Modulates the Perception of Pain in Others. Current Biology,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0960982207019793,NeuroCiencia,"ChengY,LinC.-P,LiuH.-L,HsuY.-Y,LimK.-E,HungD,Decety","Expertise Modulates the Perception of Pain in Others. Current Biology, 17(19), 1708–1713.",2007
153,Anodal transcranial direct current stimulation of right temporoparietal area inhibits,https://sci-hub.se/https://link.springer.com/article/10.3758/s13415-016-0461-0,NeuroCiencia,"PayneS,Tsakiris","Anodal transcranial direct current stimulation of right temporoparietal area inhibits self-recognition. Cognitive, Affective, & Behavioral Neuroscience, 17(1), 1–8.",2016
154,Supernumerary phantom limb as a rare symptom of epileptic seizures-case,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1528-1167.2011.03156.x,NeuroCiencia,"MillonigA,BodnerT,DonnemillerE,WolfE,Unterberger","Supernumerary phantom limb as a rare symptom of epileptic seizures-case report and literature review. Epilepsia, 52(8), e97–e100.",2011
155,The polymodal sensory cortex is crucial for controlling lateral postural,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0361923000003609,NeuroCiencia,"PérennouD.A,LeblondC,AmblardB,MicallefJ.P,RougetE,Pélissier","The polymodal sensory cortex is crucial for controlling lateral postural stability: evidence from stroke patients. Brain Research Bulletin, 53(3), 359–365.",2000
156,Ventromedial prefrontal volume predicts understanding of others and social network,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811911005180,NeuroCiencia,"LewisP.A,RezaieR,BrownR,RobertsN,DunbarR.I.","Ventromedial prefrontal volume predicts understanding of others and social network size. NeuroImage, 57(4), 1624–1629.",2011
157,Tactile form and location processing in the human brain. Proceedings,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.0505907102,NeuroCiencia,"VanBovenR.W,IngeholmJ.E,BeauchampM.S,BikleP.C,UngerleiderL.","Tactile form and location processing in the human brain. Proceedings of the National Academy of Sciences, 102(35), 12601–12605.",2005
158,"Do visual perspective tasks need theory of mind? NeuroImage, 30(3),",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811905024079,NeuroCiencia,"AichhornM,PernerJ,KronbichlerM,StaffenW,Ladurner","Do visual perspective tasks need theory of mind? NeuroImage, 30(3), 1059–1068.",2006
159,A Negative Pilot Study of Daily Bimodal Transcranial Direct Current,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1935861X14002770,NeuroCiencia,"FitzgeraldP.B,McQueenS,DaskalakisZ.J,HoyK.","A Negative Pilot Study of Daily Bimodal Transcranial Direct Current Stimulation in Schizophrenia. Brain Stimulation, 7(6), 813–816.",2014
160,Functional Neuroimaging of Social Cognition in Pervasive Developmental Disorders. Annals,https://sci-hub.se/https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1196/annals.1301.027,NeuroCiencia,"MARTINOA,CASTELLANOSF.","Functional Neuroimaging of Social Cognition in Pervasive Developmental Disorders. Annals of the New York Academy of Sciences, 1008(1), 256–260.",2003
161,The ventral attention network: the mirror of the language network,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/joa.13223,NeuroCiencia,"BernardF,LemeeJ.-M,MazerandE,LeiberL.-M,MeneiP,TerMinassian",The ventral attention network: the mirror of the language network in the right brain hemisphere. Journal of Anatomy.,2020
162,Neural Oscillations in Temporoparietal Lobes under Inhibitory Control in a,https://sci-hub.se/https://ieeexplore.ieee.org/abstract/document/7790014/,NeuroCiencia,"KoL.-W,ChikaraR.K,ShihY.-C,ChangE.",Neural Oscillations in Temporoparietal Lobes under Inhibitory Control in a Naturalistic Situation. 2016 IEEE 16th International Conference on Bioinformatics and Bioengineering (BIBE).,2016
163,Superior colliculus resting state networks in post-traumatic stress disorder and,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.23865,NeuroCiencia,"OlivéI,DensmoreM,HarricharanS,ThébergeJ,McKinnonM.C,Lanius","Superior colliculus resting state networks in post-traumatic stress disorder and its dissociative subtype. Human Brain Mapping, 39(1), 563–574.",2017
164,Perception of social stimuli in mania: An fMRI study. Psychiatry,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0925492714002716,NeuroCiencia,"UsnichT,SpenglerS,SajonzB,HeroldD,BauerM,Bermpohl","Perception of social stimuli in mania: An fMRI study. Psychiatry Research: Neuroimaging, 231(1), 71–76.",2015
165,The neural basis of the interaction between theory of mind,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.0701408104,NeuroCiencia,"YoungL,CushmanF,HauserM,Saxe","The neural basis of the interaction between theory of mind and moral judgment. Proceedings of the National Academy of Sciences, 104(20), 8235–8240.",2007
166,Rhythm makes the world go round: An MEG-TMS study on,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0010945215003895,NeuroCiencia,"WangH,CallaghanE,Gooding-WilliamsG,McAllisterC,Kessler","Rhythm makes the world go round: An MEG-TMS study on the role of right TPJ theta oscillations in embodied perspective taking. Cortex, 75, 68–81.",2016
167,THETA-Rhythm Makes the World Go Round: Dissociative Effects of TMS,https://sci-hub.se/https://link.springer.com/article/10.1007/s10548-017-0557-z,NeuroCiencia,"Gooding-WilliamsG,WangH,Kessler","THETA-Rhythm Makes the World Go Round: Dissociative Effects of TMS Theta Versus Alpha Entrainment of Right pTPJ on Embodied Perspective Transformations. Brain Topography, 30(5), 561–564.",2017
168,Abstract #119: Polarity-dependent effects on postural control after High-definition Transcranial,https://sci-hub.se/https://www.brainstimjrnl.com/article/S1935-861X(18)30544-8/abstract,NeuroCiencia,"FavorettoD.B,BergonzoniE,NascimentoD,RimoliB,Will-LemosT,TruongD.Q,SantosT.","Abstract #119: Polarity-dependent effects on postural control after High-definition Transcranial Direct Current Stimulation over the temporo-parietal junction. Brain Stimulation, 12(2), e41.",2019
169,Sleep paralysis and “the bedroom intruder”: The role of the,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0306987714003600,NeuroCiencia,"JalalB,RamachandranV.","Sleep paralysis and “the bedroom intruder”: The role of the right superior parietal, phantom pain and body image projection. Medical Hypotheses, 83(6), 755–757.",2014
170,"Cultural influences on neural basis of intergroup empathy. NeuroImage, 57(2),",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811911004307,NeuroCiencia,"CheonB.K,ImD,HaradaT,KimJ.-S,MathurV.A,ScimecaJ.M,ChiaoJ.","Cultural influences on neural basis of intergroup empathy. NeuroImage, 57(2), 642–650.",2011
171,Neural correlates of moral sensitivity and moral judgment associated with,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/03057240.2016.1262834,NeuroCiencia,Han,"Neural correlates of moral sensitivity and moral judgment associated with brain circuitries of selfhood: A meta-analysis. Journal of Moral Education, 46(2), 97–113.",2017
172,The Effect of Varying Stimulus Rate and Duration on Brain,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811996900051,NeuroCiencia,"PriceC.J,MooreC.J,FrackowiakR.S.","The Effect of Varying Stimulus Rate and Duration on Brain Activity during Reading. NeuroImage, 3(1), 40–52.",1996
173,Fronto-temporoparietal connectivity and self-awareness in 18-month-olds: A resting state fNIRS,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1878929318303451,NeuroCiencia,"BulgarelliC,BlasiA,deKlerkC.C.J.M,RichardsJ.E,HamiltonA,Southgate","Fronto-temporoparietal connectivity and self-awareness in 18-month-olds: A resting state fNIRS study. Developmental Cognitive Neuroscience, 38, 100676.",2019
174,"Neural networks underlying endogenous and exogenous visual–spatial orienting. NeuroImage, 23(2),",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811904003374,NeuroCiencia,"MayerA.R,DorflingerJ.M,RaoS.M,Seidenberg","Neural networks underlying endogenous and exogenous visual–spatial orienting. NeuroImage, 23(2), 534–541.",2004
175,Neural signatures of strategic types in a two-person bargaining game.,https://sci-hub.se/https://www.pnas.org/doi/abs/10.1073/pnas.1009625107,NeuroCiencia,"BhattM.A,LohrenzT,CamererC.F,MontagueP.","Neural signatures of strategic types in a two-person bargaining game. Proceedings of the National Academy of Sciences, 107(46), 19720–19725.",2010
176,"Sex differences in thickness, and folding developments throughout the cortex.",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811913005764,NeuroCiencia,"MutluA.K,SchneiderM,DebbanéM,BadoudD,EliezS,Schaer","Sex differences in thickness, and folding developments throughout the cortex. NeuroImage, 82, 200–207.",2013
177,"Neural correlates of true and false belief reasoning. NeuroImage, 35(3),",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811907000468,NeuroCiencia,"SommerM,DöhnelK,SodianB,MeinhardtJ,ThoermerC,Hajak","Neural correlates of true and false belief reasoning. NeuroImage, 35(3), 1378–1384.",2007
178,The role of negative affectivity and social inhibition in perceiving,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393211000686,NeuroCiencia,"KretM.E,DenolletJ,GrèzesJ,deGelder","The role of negative affectivity and social inhibition in perceiving social threat: An fMRI study. Neuropsychologia, 49(5), 1187–1193.",2011
179,Reading minds versus following rules: Dissociating theory of mind and,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470910601000446,NeuroCiencia,"SaxeR,SchulzL.E,JiangY.","Reading minds versus following rules: Dissociating theory of mind and executive control in the brain. Social Neuroscience, 1(3-4), 284–298.",2006
180,Brain Mechanisms for Processing Direct and Averted Gaze in Individuals,https://sci-hub.se/https://link.springer.com/article/10.1007/s10803-011-1197-x,NeuroCiencia,"PitskelN.B,BollingD.Z,HudacC.M,LantzS.D,MinshewN.J,VanderWykB.C,PelphreyK.","Brain Mechanisms for Processing Direct and Averted Gaze in Individuals with Autism. Journal of Autism and Developmental Disorders, 41(12), 1686–1693.",2011
181,Dualism redux in recent neuroscience: “Theory of mind” and “embodied,https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1037/1089-2680.12.2.205,NeuroCiencia,KerrC.,"Dualism redux in recent neuroscience: “Theory of mind” and “embodied simulation” hypotheses in light of historical debates about perception, cognition, and mind. Review of General Psychology, 12(2), 205–214.",2008
182,Unexpected Improvement of Hand Motor Function with a Left Temporoparietal,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fpsyt.2017.00262/full,NeuroCiencia,"ThomasF,BouazizN,AmengualJ.L,AndrianisainaP.S.-K,Gaudeau-BosmaC,MoulierV,Januel","Unexpected Improvement of Hand Motor Function with a Left Temporoparietal Low-Frequency Repetitive Transcranial Magnetic Stimulation Regime Suppressing Auditory Hallucinations in a Brainstem Chronic Stroke Patient. Frontiers in Psychiatry, 8.",2017
183,"fMRI item analysis in a theory of mind task. NeuroImage,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811910016241,NeuroCiencia,"Dodell-FederD,Koster-HaleJ,BednyM,Saxe","fMRI item analysis in a theory of mind task. NeuroImage, 55(2), 705–712.",2011
184,"Social, reward, and attention brain networks are involved when online",https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2013.832374,NeuroCiencia,"GordonI,EilbottJ.A,FeldmanR,PelphreyK.A,VanderWykB.","Social, reward, and attention brain networks are involved when online bids for joint attention are met with congruent versus incongruent responses. Social Neuroscience, 8(6), 544–554.",2013
185,Change detection in children with autism: An auditory event-related fMRI,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811905005471,NeuroCiencia,"GomotM,BernardF.A,DavisM.H,BelmonteM.K,AshwinC,BullmoreE.T,Baron-Cohen","Change detection in children with autism: An auditory event-related fMRI study. NeuroImage, 29(2), 475–484.",2006
186,How do we think machines think? An fMRI study of,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnhum.2012.00103/full,NeuroCiencia,"ChaminadeT,RossetD,DaFonsecaD,NazarianB,LutcherE,ChengG,Deruelle","How do we think machines think? An fMRI study of alleged competition with an artificial intelligence. Frontiers in Human Neuroscience, 6.",2012
187,The right hemisphere is highlighted in connected natural speech production,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811917302148,NeuroCiencia,"AlexandrouA.M,SaarinenT,MäkeläS,KujalaJ,Salmelin","The right hemisphere is highlighted in connected natural speech production and perception. NeuroImage, 152, 628–638.",2017
188,Increasing Role of Maternal Immune Activation in Neurodevelopmental Disorders. Frontiers,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnbeh.2018.00230/full,NeuroCiencia,"Boulanger-BertolusJ,PancaroC,MashourG.","Increasing Role of Maternal Immune Activation in Neurodevelopmental Disorders. Frontiers in Behavioral Neuroscience, 12.",2018
189,"Mentalizing impairment in schizophrenia: A functional MRI study. Schizophrenia Research,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0920996411004695,NeuroCiencia,"DasP,LagopoulosJ,CoulstonC.M,HendersonA.F,MalhiG.","Mentalizing impairment in schizophrenia: A functional MRI study. Schizophrenia Research, 134(2-3), 158–164.",2012
190,"Gender differences in brain networks supporting empathy. NeuroImage, 42(1), 393–403.",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811908004886,NeuroCiencia,"Schulte-RütherM,MarkowitschH.J,ShahN.J,FinkG.R,Piefke","Gender differences in brain networks supporting empathy. NeuroImage, 42(1), 393–403.",2008
191,The effect of perspective and content on brain activation during,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/13803395.2011.630650,NeuroCiencia,"VeroudeK,KeulersE.H.H,EversE.A.T,StiersP,KrabbendamL,Jolles","The effect of perspective and content on brain activation during mentalizing in young females. Journal of Clinical and Experimental Neuropsychology, 34(3), 227–234.",2012
192,Long-term effects of repetitive transcranial magnetic stimulation in unilateral tinnitus.,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/lary.24722,NeuroCiencia,"KimH.J,KimD.Y,KimH.I,OhH.S,SimN.S,MoonI.","Long-term effects of repetitive transcranial magnetic stimulation in unilateral tinnitus. The Laryngoscope, 124(9), 2155–2160.",2014
193,Understanding others’ actions and goals by mirror and mentalizing systems:,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S105381190900620X,NeuroCiencia,"VanOverwalleF,Baetens","Understanding others’ actions and goals by mirror and mentalizing systems: A meta-analysis. NeuroImage, 48(3), 564–584.",2009
194,Abnormal temporal and parietal magnetic activations during the early stages,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.1080/17470919.2010.530870,NeuroCiencia,"VistoliD,Brunet-GouetE,LemoalleA,Hardy-BayléM.-C,Passerieux","Abnormal temporal and parietal magnetic activations during the early stages of theory of mind in schizophrenic patients. Social Neuroscience, 6(3), 316–326.",2011
195,Changes in intrinsic functional brain networks following blast-induced mild traumatic,https://sci-hub.se/https://www.tandfonline.com/doi/abs/10.3109/02699052.2013.823561,NeuroCiencia,"VakhtinA.A,CalhounV.D,JungR.E,PrestopnikJ.L,TaylorP.A,FordC.","Changes in intrinsic functional brain networks following blast-induced mild traumatic brain injury. Brain Injury, 27(11), 1304–1310.",2013
196,"Spontaneous pneumothorax: epidemiology, pathophysiology and cause. European Respiratory Review, 19(117),",https://sci-hub.se/https://err.ersjournals.com/content/19/117/217.short,Medicina,Noppen,"Spontaneous pneumothorax: epidemiology, pathophysiology and cause. European Respiratory Review, 19(117), 217–219.",2010
197,"Spontaneous Pneumothorax: Pathophysiology, Clinical Presentation and Diagnosis. Topics in Companion",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1938973621000568,Medicina,"GildayC,OdunayoA,Hespel","Spontaneous Pneumothorax: Pathophysiology, Clinical Presentation and Diagnosis. Topics in Companion Animal Medicine, 45, 100563.",2021
198,"Pathophysiology of Pneumothorax Following Ultrasound-Guided Thoracentesis. Chest, 130(4), 1173–1184.",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0012369215511550,Medicina,"HeideckerJ,HugginsJ.T,SahnS.A,Doelken","Pathophysiology of Pneumothorax Following Ultrasound-Guided Thoracentesis. Chest, 130(4), 1173–1184.",2006
199,"Pneumothorax in Patients With Acute Respiratory Distress Syndrome: Pathophysiology, Detection,",https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/0885066602239120,Medicina,"WoodsideK.J,vanSonnenbergE,ChonK.S,LoranD.B,TocinoI.M,ZwischenbergerJ.","Pneumothorax in Patients With Acute Respiratory Distress Syndrome: Pathophysiology, Detection, and Treatment. Journal of Intensive Care Medicine, 18(1), 9–20.",2003
200,The pathophysiology of tension pneumothorax in ventilated swine. The Journal,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0736467996003125,Medicina,"BartonE.D,RheeP,HuttonK.C,Rosen","The pathophysiology of tension pneumothorax in ventilated swine. The Journal of Emergency Medicine, 15(2), 147–153.",1997
201,New insights and improved strategies for the management of primary,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/crj.12990,Medicina,"PlojouxJ,FroudarakisM,JanssensJ.-P,SoccalP.M,Tschopp",New insights and improved strategies for the management of primary spontaneous pneumothorax. The Clinical Respiratory Journal.,2019
202,The impact of smoking in primary spontaneous pneumothorax. The Journal,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0022522309000099,Medicina,"ChengY.-L,HuangT.-W,LinC.-K,LeeS.-C,TzaoC,ChenJ.-C,Chang","The impact of smoking in primary spontaneous pneumothorax. The Journal of Thoracic and Cardiovascular Surgery, 138(1), 192–195.",2009
203,Electrical impedance tomography reveals pathophysiology of neonatal pneumothorax during NAVA.,https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/ccr3.2944,Medicina,"KallioM,RahtuM,KaamA.H,BayfordR,RimensbergerP.C,Frerichs",Electrical impedance tomography reveals pathophysiology of neonatal pneumothorax during NAVA. Clinical Case Reports.,2020
204,"Tension Pneumothorax: Etiology, Diagnosis, Pathophysiology, and Management. Journal of Intensive",https://sci-hub.se/https://journals.sagepub.com/doi/pdf/10.1177/088506669400900304,Medicina,"GilbertT.B,McGrathB.","Tension Pneumothorax: Etiology, Diagnosis, Pathophysiology, and Management. Journal of Intensive Care Medicine, 9(3), 139–150.",1994
205,"COVID-19 with spontaneous pneumothorax, pneumomediastinum and subcutaneous emphysema. New Microbes",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2052297520301372,Medicina,"ZayetS,KlopfensteinT,MezherC,GendrinV,ConrozierT,BenAbdallah","COVID-19 with spontaneous pneumothorax, pneumomediastinum and subcutaneous emphysema. New Microbes and New Infections, 100785.",2020
206,Fluorescein-enhanced Autofluorescence Thoracoscopy in Primary Spontaneous Pneumothorax. American Journal of,https://sci-hub.se/https://www.atsjournals.org/doi/abs/10.1164/rccm.200404-438CR,Medicina,"NoppenM,StratakosG,VerbanckS,D’HaeseJ,MeysmanM,Vincken","Fluorescein-enhanced Autofluorescence Thoracoscopy in Primary Spontaneous Pneumothorax. American Journal of Respiratory and Critical Care Medicine, 170(6), 680–682.",2004
207,Association between anger and first-onset primary spontaneous pneumothorax. General Hospital,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0163834308000376,Medicina,"LeeS.-H,ChoiH,KimS,ChoiT.K,LeeS,KimB,KimY.","Association between anger and first-onset primary spontaneous pneumothorax. General Hospital Psychiatry, 30(4), 331–336.",2008
208,"Pneumothorax. Respirology, 9(2), 157–164.",https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1440-1843.2004.00577.x,Medicina,"BAUMANNM.H,NOPPEN","Pneumothorax. Respirology, 9(2), 157–164.",2004
209,"Spontaneous pneumothorax: time to rethink management? The Lancet Respiratory Medicine,",https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S2213260015002209,Medicina,"BintcliffeO.J,HallifaxR.J,EdeyA,Feller-KopmanD,LeeY.C.G,MarquetteC.H,MaskellN.","Spontaneous pneumothorax: time to rethink management? The Lancet Respiratory Medicine, 3(7), 578–588.",2015
210,Fluorescein-enhanced Autofluorescence Thoracoscopy in Patients with Primary Spontaneous Pneumothorax and,https://sci-hub.se/https://www.atsjournals.org/doi/abs/10.1164/rccm.200602-259OC,Medicina,"NoppenM,DekeukeleireT,HanonS,StratakosG,AmjadiK,MadsenP,Vincken","Fluorescein-enhanced Autofluorescence Thoracoscopy in Patients with Primary Spontaneous Pneumothorax and Normal Subjects. American Journal of Respiratory and Critical Care Medicine, 174(1), 26–30.",2006
211,"Pneumothorax during laparoscopy. Surgical Endoscopy, 17(12), 1985–1989.",https://sci-hub.se/https://link.springer.com/article/10.1007/s00464-003-8126-9,Medicina,"LudemannR,KrysztopikR,JamiesonG.G,WatsonD.","Pneumothorax during laparoscopy. Surgical Endoscopy, 17(12), 1985–1989.",2003
212,Guidelines for the Diagnosis and Treatment of Spontaneous Pneumothorax. Archivos,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1579212908600774,Medicina,"RivasdeAndrésJ.J,JiménezLópezM.F,MolinsLópez-RodóL,PérezTrullénA,TorresLanzas","Guidelines for the Diagnosis and Treatment of Spontaneous Pneumothorax. Archivos de Bronconeumología ((English Edition)), 44(8), 437–448.",2008
213,Management of spontaneous pneumothorax: state of the art. European Respiratory,https://sci-hub.se/https://erj.ersjournals.com/content/28/3/637.short,Medicina,"TschoppJ.-M,Rami-PortaR,NoppenM,Astoul","Management of spontaneous pneumothorax: state of the art. European Respiratory Journal, 28(3), 637–650.",2006
214,Clinical manifestations of tension pneumothorax: protocol for a systematic review,https://sci-hub.se/https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/2046-4053-3-3,Medicina,"RobertsD.J,Leigh-SmithS,FarisP.D,BallC.G,RobertsonH.L,BlackmoreC,StelfoxH.","Clinical manifestations of tension pneumothorax: protocol for a systematic review and meta-analysis. Systematic Reviews, 3(1).",2014
215,Video-assisted thoracic surgical treatment of initial spontaneous pneumothorax in young,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0003497502048166,Medicina,"MargolisM,GharagozlooF,TempestaB,TrachiotisG.D,KatzN.M,AlexanderE.","Video-assisted thoracic surgical treatment of initial spontaneous pneumothorax in young patients. The Annals of Thoracic Surgery, 76(5), 1661–1664.",2003
216,Interventional radiology of the chest: image-guided percutaneous drainage of pleural,https://sci-hub.se/https://www.ajronline.org/doi/abs/10.2214/ajr.164.3.7863875,Medicina,"KleinJ.S,SchultzS,HeffnerJ.","Interventional radiology of the chest: image-guided percutaneous drainage of pleural effusions, lung abscess, and pneumothorax. American Journal of Roentgenology, 164(3), 581–588.",1995
